GENESIS-Tabelle: 31121-03-02-5-B
Baufertigstellungen: Wohnungen in Wohn- und;;;;;;
Nichtwohngebäuden (einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baufertigstellungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01054043;Hattstedtermarsch;0;0;0;0;0
01054045;Högel;0;0;0;0;0
01054046;Hörnum (Sylt);27;20;5;2;0
01054048;Holm;1;0;0;0;1
01054050;Hallig Hooge;0;0;0;0;0
01054052;Horstedt;8;0;4;1;3
01054054;Hude;-;-;-;-;-
01054055;Humptrup;2;1;-1;1;1
01054056;Husum;338;61;94;71;112
01054057;Immenstedt;0;0;-1;-2;3
01054059;Joldelund;0;0;-1;0;1
01054061;Kampen (Sylt);4;-2;3;2;1
01054062;Karlum;0;0;0;0;0
01054063;Katharinenheerd;3;0;2;1;0
01054065;Klanxbüll;14;1;3;2;8
01054068;Klixbüll;2;0;2;0;0
01054070;Koldenbüttel;-;-;-;-;-
01054071;Kolkerheide;0;0;0;0;0
01054072;Kotzenbüll;-;-;-;-;-
01054073;Ladelund;3;0;0;0;3
01054074;Langeneß;-;-;-;-;-
01054075;Langenhorn;14;3;3;4;4
01054076;Leck;35;-1;17;8;11
01054077;Lexgaard;2;1;1;0;0
01054078;List;16;0;3;8;5
01054079;Löwenstedt;8;1;1;1;5
01054080;Lütjenholm;0;0;0;0;0
01054083;Midlum;7;1;1;0;5
01054084;Mildstedt;23;4;8;4;7
01054085;Nebel;5;1;1;1;2
01054086;Neukirchen;3;0;1;0;2
01054087;Nieblum;5;1;0;0;4
01054088;Niebüll;39;0;13;12;14
01054089;Norddorf auf Amrum;-;-;-;-;-
01054090;Norderfriedrichskoog;1;0;0;0;1
01054091;Nordstrand;18;0;5;4;9
01054092;Norstedt;2;0;0;1;1
01054093;Ockholm;1;1;0;0;0
01054094;Oevenum;3;0;0;0;3
01054095;Oldenswort;7;0;0;3;4
01054096;Oldersbek;3;0;-1;2;2
01054097;Olderup;2;0;0;0;2
01054098;Oldsum;1;0;0;1;0
01054099;Ostenfeld (Husum);5;1;1;0;3
01054100;Osterhever;1;0;0;1;0
01054101;Oster-Ohrstedt;0;0;0;0;0
01054103;Pellworm;10;0;2;5;3
01054104;Poppenbüll;0;0;0;0;0
01054105;Ramstedt;0;0;0;0;0
01054106;Rantrum;6;1;2;1;2
01054107;Rantum (Sylt);-;-;-;-;-
01054108;Reußenköge;1;0;0;0;1
01054109;Risum-Lindholm;37;15;6;2;14
01054110;Rodenäs;0;0;0;-1;1
01054113;Sankt Peter-Ording;75;27;16;21;11
01054116;Schwabstedt;-;-;-;-;-
01054118;Schwesing;4;1;0;-1;4
01054119;Seeth;1;0;0;1;0
01054120;Simonsberg;5;1;0;1;3
01054121;Sönnebüll;1;0;0;0;1
01054123;Sollwitt;2;0;0;1;1
01054124;Sprakebüll;3;0;-2;0;5
01054125;Stadum;4;0;3;0;1
01054126;Stedesand;5;0;0;1;4
01054128;Struckum;3;0;2;0;1
01054129;Süderende;2;0;0;1;1
01054130;Süderhöft;-;-;-;-;-
01054131;Süderlügum;16;5;6;-1;6
01054132;Südermarsch;2;1;0;1;0
01054133;Sylt-Ost;-;-;-;-;-
01054134;Tating;19;0;8;7;4
01054135;Tetenbüll;0;0;0;0;0
01054136;Tinningstedt;1;0;0;0;1
01054138;Tönning;3;1;0;-1;3
01054140;Tümlauer Koog;1;0;0;1;0
01054141;Uelvesbüll;4;0;1;1;2
01054142;Uphusum;-;-;-;-;-
01054143;Utersum;4;0;1;1;2
01054144;Viöl;13;0;-1;6;8
01054145;Vollerwiek;1;0;0;2;-1
01054146;Vollstedt;3;1;0;1;1
