GENESIS-Tabelle: 12411-07-01-5-B
Durchschnittsalter der Bevölkerung;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
;;;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung
;;;;männlich;weiblich
;;;Jahre;Jahre;Jahre
31.12.2015;01054040;Grothusenkoog;54,3;50,7;57,5
31.12.2015;01054041;Haselund;40,7;40,4;40,9
31.12.2015;01054042;Hattstedt;43,3;42,6;43,9
31.12.2015;01054043;Hattstedtermarsch;45,1;42,9;47,7
31.12.2015;01054045;Högel;42,7;44,1;41,4
31.12.2015;01054046;Hörnum (Sylt);44,9;44,5;45,3
31.12.2015;01054048;Holm;45,8;48,6;43,6
31.12.2015;01054050;Hallig Hooge;51,0;50,9;51,0
31.12.2015;01054052;Horstedt;40,3;39,6;41,1
31.12.2015;01054054;Hude;47,2;45,4;49,1
31.12.2015;01054055;Humptrup;46,7;44,9;48,6
31.12.2015;01054056;Husum;46,2;44,3;47,8
31.12.2015;01054057;Immenstedt;41,5;41,0;42,1
31.12.2015;01054059;Joldelund;42,4;42,1;42,7
31.12.2015;01054061;Kampen (Sylt);51,1;49,4;52,7
31.12.2015;01054062;Karlum;44,4;47,4;41,6
31.12.2015;01054063;Katharinenheerd;48,3;48,7;47,9
31.12.2015;01054065;Klanxbüll;46,8;44,5;48,9
31.12.2015;01054068;Klixbüll;43,9;43,0;45,0
31.12.2015;01054070;Koldenbüttel;43,7;42,8;44,6
31.12.2015;01054071;Kolkerheide;42,5;38,5;47,5
31.12.2015;01054072;Kotzenbüll;42,6;42,3;42,9
31.12.2015;01054073;Ladelund;43,2;42,2;44,2
31.12.2015;01054074;Langeneß;47,1;48,5;45,4
31.12.2015;01054075;Langenhorn;43,1;42,7;43,5
31.12.2015;01054076;Leck;45,4;43,7;46,9
31.12.2015;01054077;Lexgaard;47,4;46,0;49,4
31.12.2015;01054078;List;45,0;43,6;46,5
31.12.2015;01054079;Löwenstedt;41,4;40,3;42,6
31.12.2015;01054080;Lütjenholm;42,6;41,3;44,1
31.12.2015;01054083;Midlum;41,6;41,5;41,7
31.12.2015;01054084;Mildstedt;45,0;43,1;46,7
31.12.2015;01054085;Nebel;46,7;43,9;49,1
31.12.2015;01054086;Neukirchen;44,8;44,2;45,5
31.12.2015;01054087;Nieblum;49,6;49,1;50,0
31.12.2015;01054088;Niebüll;44,2;42,4;46,0
31.12.2015;01054089;Norddorf auf Amrum;45,9;44,0;47,6
31.12.2015;01054090;Norderfriedrichskoog;41,0;45,7;36,2
31.12.2015;01054091;Nordstrand;50,8;48,8;52,6
31.12.2015;01054092;Norstedt;43,0;42,6;43,3
31.12.2015;01054093;Ockholm;50,7;48,3;53,3
31.12.2015;01054094;Oevenum;43,6;42,3;44,8
31.12.2015;01054095;Oldenswort;45,3;43,6;47,0
31.12.2015;01054096;Oldersbek;40,9;39,9;42,1
31.12.2015;01054097;Olderup;40,8;40,5;41,1
31.12.2015;01054098;Oldsum;47,2;45,9;48,3
31.12.2015;01054099;Ostenfeld (Husum);44,6;42,7;46,2
31.12.2015;01054100;Osterhever;50,9;47,3;54,4
31.12.2015;01054101;Oster-Ohrstedt;44,1;43,6;44,7
31.12.2015;01054103;Pellworm;49,8;49,2;50,4
31.12.2015;01054104;Poppenbüll;47,1;47,3;47,0
31.12.2015;01054105;Ramstedt;46,0;45,2;46,8
31.12.2015;01054106;Rantrum;40,6;39,8;41,3
31.12.2015;01054107;Rantum (Sylt);-;-;-
31.12.2015;01054108;Reußenköge;44,5;44,1;45,0
31.12.2015;01054109;Risum-Lindholm;43,4;42,3;44,6
31.12.2015;01054110;Rodenäs;44,8;45,0;44,7
31.12.2015;01054113;Sankt Peter-Ording;49,6;47,4;51,5
31.12.2015;01054116;Schwabstedt;46,9;46,5;47,4
31.12.2015;01054118;Schwesing;43,1;42,2;44,0
31.12.2015;01054119;Seeth;32,4;31,1;34,3
31.12.2015;01054120;Simonsberg;45,6;45,1;46,2
31.12.2015;01054121;Sönnebüll;39,4;39,6;39,3
31.12.2015;01054123;Sollwitt;41,7;39,5;44,1
31.12.2015;01054124;Sprakebüll;39,2;38,3;40,3
31.12.2015;01054125;Stadum;41,6;40,8;42,6
31.12.2015;01054126;Stedesand;43,7;44,5;43,0
31.12.2015;01054128;Struckum;45,8;44,6;47,1
31.12.2015;01054129;Süderende;41,7;40,8;42,4
31.12.2015;01054130;Süderhöft;48,1;50,9;45,6
31.12.2015;01054131;Süderlügum;44,8;43,2;46,3
31.12.2015;01054132;Südermarsch;42,2;40,3;44,2
31.12.2015;01054133;Sylt-Ost;-;-;-
31.12.2015;01054134;Tating;46,5;45,3;47,8
31.12.2015;01054135;Tetenbüll;51,7;50,1;53,0
31.12.2015;01054136;Tinningstedt;43,6;46,2;41,2
31.12.2015;01054138;Tönning;46,6;45,1;48,0
31.12.2015;01054140;Tümlauer Koog;45,4;44,1;46,9
31.12.2015;01054141;Uelvesbüll;44,5;43,3;45,7
31.12.2015;01054142;Uphusum;44,7;44,4;45,0
31.12.2015;01054143;Utersum;49,2;48,6;49,6
31.12.2015;01054144;Viöl;41,2;38,9;43,4
31.12.2015;01054145;Vollerwiek;46,5;45,9;47,2
31.12.2015;01054146;Vollstedt;40,5;39,0;42,0
31.12.2015;01054148;Welt;43,9;44,1;43,8
31.12.2015;01054149;Wenningstedt-Braderup (Sylt);49,5;47,2;51,6
31.12.2015;01054150;Westerhever;50,5;49,1;51,7
31.12.2015;01054151;Westerland;-;-;-
31.12.2015;01054152;Wester-Ohrstedt;40,5;40,4;40,6
31.12.2015;01054154;Westre;43,0;43,6;42,4
31.12.2015;01054156;Winnert;41,9;41,1;42,7
31.12.2015;01054157;Wisch;43,4;43,5;43,3
31.12.2015;01054158;Witsum;53,9;52,8;54,9
31.12.2015;01054159;Wittbek;44,9;43,5;46,3
31.12.2015;01054160;Wittdün auf Amrum;44,6;42,9;45,9
31.12.2015;01054161;Witzwort;44,1;43,2;45,1
31.12.2015;01054162;Wobbenbüll;48,2;46,0;50,5
31.12.2015;01054163;Wrixum;42,8;42,0;43,5
31.12.2015;01054164;Wyk auf Föhr;49,5;47,4;51,2
31.12.2015;01054165;Galmsbüll;44,1;43,1;45,0
31.12.2015;01054166;Emmelsbüll-Horsbüll;46,8;46,8;46,8
31.12.2015;01054167;Enge-Sande;43,0;42,1;43,9
31.12.2015;01054168;Sylt;48,4;46,6;50,0
31.12.2015;01055001;Ahrensbök;43,7;43,1;44,4
31.12.2015;01055002;Altenkrempe;44,0;43,7;44,2
31.12.2015;01055004;Bad Schwartau;49,2;46,8;51,3
31.12.2015;01055006;Beschendorf;44,2;45,0;43,6
31.12.2015;01055007;Bosau;45,1;44,1;46,1
31.12.2015;01055010;Dahme;54,1;52,1;56,0
31.12.2015;01055011;Damlos;46,3;45,6;46,9
31.12.2015;01055012;Eutin;47,0;45,3;48,5
31.12.2015;01055014;Göhl;44,3;43,7;44,9
31.12.2015;01055015;Gremersdorf;44,3;43,5;45,1
31.12.2015;01055016;Grömitz;51,8;50,6;53,0
31.12.2015;01055017;Großenbrode;51,9;50,2;53,5
31.12.2015;01055018;Grube;46,5;46,0;46,9
31.12.2015;01055020;Harmsdorf;44,5;43,2;45,8
31.12.2015;01055021;Heiligenhafen;50,8;49,5;52,0
31.12.2015;01055022;Heringsdorf (Holstein);48,3;47,8;48,8
31.12.2015;01055023;Kabelhorst;44,2;43,3;45,0
31.12.2015;01055024;Kasseedorf;44,2;43,6;44,9
31.12.2015;01055025;Kellenhusen (Ostsee);56,2;54,6;57,7
31.12.2015;01055027;Lensahn;45,1;43,5;46,6
31.12.2015;01055028;Malente;48,6;47,0;50,0
31.12.2015;01055029;Manhagen;44,3;44,5;44,2
31.12.2015;01055031;Neukirchen;47,3;46,0;48,8
31.12.2015;01055032;Neustadt in Holstein;48,2;46,5;49,7
31.12.2015;01055033;Oldenburg in Holstein;46,9;45,0;48,6
31.12.2015;01055035;Ratekau;46,0;44,9;47,1
31.12.2015;01055036;Riepsdorf;46,3;44,6;48,1
31.12.2015;01055037;Schashagen;45,8;45,8;45,8
31.12.2015;01055038;Schönwalde am Bungsberg;45,5;44,5;46,5
31.12.2015;01055039;Sierksdorf;54,1;52,4;55,8
31.12.2015;01055040;Stockelsdorf;45,9;44,8;47,0
31.12.2015;01055041;Süsel;44,1;44,0;44,1
31.12.2015;01055042;Timmendorfer Strand;50,2;47,9;52,3
31.12.2015;01055043;Wangels;46,3;45,3;47,3
31.12.2015;01055044;Scharbeutz;49,6;49,1;50,1
31.12.2015;01055046;Fehmarn;48,3;47,3;49,2
31.12.2015;01056001;Appen;44,6;43,7;45,5
31.12.2015;01056002;Barmstedt;45,0;43,2;46,8
31.12.2015;01056003;Bevern;44,5;43,9;45,0
31.12.2015;01056004;Bilsen;43,8;43,7;43,9
