GENESIS-Tabelle: 31211-03-01-5-B
Gebäude mit Wohnraum nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01053056;Hornbek;80;24;8;24;9;-;3;9;-;3;-
01053057;Horst;95;33;-;40;6;-;10;3;3;-;-
01053058;Juliusburg;57;17;7;16;7;-;7;3;-;-;-
01053059;Kankelau;64;18;-;21;9;-;-;7;3;6;-
01053060;Kasseburg;181;30;17;78;23;-;4;12;7;7;3
01053061;Kastorf;397;50;44;99;18;3;70;68;24;18;3
01053062;Kittlitz;100;22;3;50;15;-;4;3;-;3;-
01053064;Klein Pampau;210;3;9;66;54;14;25;14;7;12;6
01053066;Klein Zecher;98;22;6;30;6;-;6;15;13;-;-
01053067;Klempau;224;33;6;116;6;3;10;3;22;21;4
01053068;Klinkrade;193;57;6;36;20;3;20;19;9;17;6
01053069;Koberg;254;32;23;59;34;10;31;31;9;16;9
01053070;Köthel;93;9;10;31;17;-;10;7;6;3;-
01053071;Kollow;205;45;24;54;39;6;9;13;12;3;-
01053072;Kröppelshagen-Fahrendorf;404;35;24;169;51;9;35;55;6;13;7
01053073;Krüzen;112;16;3;22;19;3;13;6;23;-;7
01053074;Krukow;56;9;6;22;6;3;3;3;4;-;-
01053075;Krummesse;606;38;23;335;42;15;24;66;48;15;-
01053076;Kuddewörde;447;27;32;177;62;21;32;22;30;41;3
01053077;Kühsen;132;52;12;26;9;12;9;6;3;3;-
01053078;Kulpin;67;24;9;13;12;-;6;3;-;-;-
01053079;Labenz;271;53;19;55;15;12;35;46;21;12;3
01053080;Langenlehsten;51;6;6;27;-;3;3;3;3;-;-
01053081;Lankau;183;50;31;50;19;0;9;15;6;3;-
01053082;Lanze;99;15;9;33;9;-;3;15;9;6;-
01053083;Lauenburg/Elbe;3155;427;372;1603;221;112;126;169;80;27;18
01053084;Lehmrade;148;15;6;57;24;12;6;12;16;-;-
01053085;Linau;422;56;43;127;33;25;61;21;37;10;9
01053086;Lüchow;100;33;3;9;6;3;6;6;7;27;-
01053087;Lütau;219;43;22;76;18;6;9;14;14;17;-
01053088;Mechow;36;24;-;3;3;-;-;3;-;-;3
01053089;Möhnsen;170;45;27;53;7;10;3;19;-;3;3
01053090;Mölln;5177;404;424;2733;486;177;285;283;171;161;53
01053091;Mühlenrade;66;18;-;15;9;-;6;9;6;3;-
01053092;Müssen;362;48;53;126;42;-;16;35;7;20;15
01053093;Mustin;269;48;36;81;29;6;15;27;13;4;10
01053094;Niendorf bei Berkenthin;64;3;3;18;10;3;4;23;-;-;-
01053095;Niendorf/Stecknitz;216;25;26;79;19;7;19;22;9;10;-
01053096;Nusse;358;57;32;122;52;6;37;27;9;9;7
01053097;Panten;290;45;25;146;35;3;9;18;9;-;-
01053098;Pogeez;146;16;19;68;9;3;10;15;3;-;3
01053099;Poggensee;113;17;11;34;25;3;3;10;3;3;4
01053100;Ratzeburg;3718;333;280;1720;298;79;219;324;281;139;45
01053101;Ritzerau;96;36;16;29;-;3;0;9;3;-;-
01053102;Römnitz;23;6;7;10;-;-;-;-;-;-;-
01053103;Rondeshagen;263;48;22;102;22;9;8;23;15;7;7
01053104;Roseburg;199;35;19;58;32;4;13;4;28;6;-
01053105;Sachsenwald;-;-;-;-;-;-;-;-;-;-;-
01053106;Sahms;127;19;0;49;13;-;-;18;24;-;4
01053107;Salem;289;50;22;110;31;10;12;15;28;7;4
01053108;Sandesneben;549;83;9;126;86;6;11;121;62;35;10
01053109;Schiphorst;185;32;28;22;13;6;3;24;29;19;9
01053110;Schmilau;217;38;31;92;9;3;9;21;-;14;-
01053111;Schnakenbek;320;19;14;158;45;25;23;9;3;21;3
01053112;Schönberg;429;85;30;135;21;7;42;41;27;25;16
01053113;Schretstaken;160;25;0;69;16;10;6;4;23;7;-
01053114;Schürensöhlen;58;0;4;26;6;4;12;6;-;-;-
01053115;Schulendorf;158;34;9;39;12;3;10;17;19;15;-
01053116;Schwarzenbek;3604;168;145;1435;318;72;309;635;291;123;108
01053117;Seedorf;257;36;10;129;31;3;15;7;8;15;3
01053118;Siebenbäumen;200;43;29;62;7;3;19;13;9;12;3
01053119;Siebeneichen;88;28;3;26;12;3;4;6;6;-;-
01053120;Sierksrade;110;33;20;26;9;3;-;-;-;9;10
01053121;Sirksfelde;125;26;10;36;6;9;13;13;3;6;3
01053122;Steinhorst;199;32;14;59;17;7;29;16;-;25;-
01053123;Sterley;334;56;32;138;15;10;3;59;9;6;6
01053124;Stubben;130;44;9;34;3;3;12;12;9;4;-
01053125;Talkau;193;14;9;75;20;6;25;16;16;12;-
01053126;Tramm;118;31;17;24;10;13;7;3;7;6;-
01053127;Walksfelde;67;18;9;15;9;3;9;4;-;-;-
01053128;Wangelau;66;13;-;37;13;-;3;-;-;-;-
01053129;Wentorf bei Hamburg;2662;161;177;1070;258;125;93;455;227;70;26
01053130;Wentorf (Amt Sandesneben);238;33;39;48;10;17;22;27;22;17;3
01053131;Wiershop;64;12;3;34;6;-;3;3;-;3;-
01053132;Witzeeze;294;38;22;131;35;9;25;12;16;6;-
01053133;Wohltorf;802;61;56;430;92;21;15;29;37;58;3
01053134;Woltersdorf;113;7;19;46;7;9;3;10;3;6;3
01053135;Worth;59;16;9;9;13;3;6;-;3;-;-
01053136;Ziethen;318;48;10;114;26;29;37;18;22;14;-
01054001;Achtrup;558;84;57;162;64;12;30;79;48;15;7
01054002;Ahrenshöft;215;49;23;70;6;6;29;22;3;7;-
01054003;Ahrenviöl;176;49;9;63;13;-;22;11;3;3;3
01054004;Ahrenviölfeld;93;17;19;27;6;3;9;3;6;3;-
01054005;Alkersum;175;43;6;63;23;3;12;12;-;10;3
01054006;Almdorf;215;50;11;54;25;8;3;37;21;6;-
01054007;Arlewatt;121;15;9;48;13;-;17;16;-;3;-
01054009;Aventoft;214;51;44;55;23;3;9;16;6;3;4
01054010;Bargum;236;79;12;62;30;6;10;24;13;-;-
01054011;Behrendorf;213;35;22;57;20;3;21;30;13;3;9
01054012;Bohmstedt;303;64;26;103;28;10;20;27;6;19;-
01054013;Bondelum;60;13;6;25;-;-;3;6;3;4;-
01054014;Bordelum;832;154;101;264;82;19;35;110;36;19;12
01054015;Borgsum;141;30;7;21;29;6;13;23;3;6;3
01054016;Bosbüll;81;20;6;39;-;-;3;6;7;-;-
01054017;Braderup;283;44;30;101;50;6;15;21;16;-;-
01054018;Bramstedtlund;82;4;9;51;6;3;3;6;-;-;-
01054019;Bredstedt;1950;273;190;784;212;68;97;161;62;69;34
01054020;Breklum;871;83;37;309;106;38;100;134;25;23;16
01054022;Dagebüll;430;117;45;151;28;9;19;25;26;6;4
01054023;Drage;228;60;20;37;33;3;18;38;4;15;-
01054024;Drelsdorf;494;70;62;139;59;32;17;42;47;23;3
01054025;Dunsum;46;13;9;12;3;-;-;-;3;3;3
01054026;Elisabeth-Sophien-Koog;22;7;3;6;3;-;-;3;-;-;-
01054027;Ellhöft;41;18;7;13;-;3;-;-;-;-;-
01054032;Fresendelf;53;11;12;17;9;-;4;-;-;-;-
01054033;Friedrichstadt;1041;369;86;341;57;20;52;50;23;31;12
01054034;Friedrich-Wilhelm-Lübke-Koog;57;-;3;47;4;-;-;-;-;3;-
01054035;Garding, Kirchspiel;133;46;3;39;-;3;3;17;15;4;3
01054036;Garding;1037;214;108;315;150;30;86;75;35;17;7
01054037;Goldebek;117;29;6;40;8;3;6;12;13;-;-
01054038;Goldelund;141;27;3;76;14;3;0;3;3;6;6
01054039;Gröde;4;-;-;4;-;-;-;-;-;-;-
01054040;Grothusenkoog;15;-;-;12;-;-;-;-;-;3;-
01054041;Haselund;311;49;18;79;48;10;21;51;16;16;3
01054042;Hattstedt;926;80;52;308;93;48;114;126;59;33;13
01054043;Hattstedtermarsch;119;46;12;28;13;-;7;10;3;-;-
01054045;Högel;160;33;25;50;3;-;26;14;6;3;-
01054046;Hörnum (Sylt);474;6;189;185;34;-;6;33;3;3;15
01054048;Holm;39;12;6;12;3;-;3;-;3;-;-
01054050;Hallig Hooge;69;9;-;60;-;-;-;-;-;-;-
01054052;Horstedt;247;34;15;79;27;9;9;41;20;3;10
01054054;Hude;91;36;7;29;-;-;6;10;-;-;3
01054055;Humptrup;310;58;35;112;40;8;13;26;12;6;-
01054056;Husum;6887;1093;922;3205;383;167;277;370;203;165;102
01054057;Immenstedt;226;41;25;65;27;-;11;34;16;3;4
01054059;Joldelund;285;36;27;76;30;14;18;37;13;30;4
01054061;Kampen (Sylt);639;21;60;245;90;48;33;42;35;44;21
01054062;Karlum;80;18;13;36;4;-;3;3;-;3;-
01054063;Katharinenheerd;83;16;3;36;12;9;-;4;3;-;-
01054065;Klanxbüll;366;16;59;129;37;10;27;55;18;9;6
01054068;Klixbüll;359;72;19;146;22;3;30;35;21;7;4
01054070;Koldenbüttel;344;69;20;109;38;-;23;56;19;10;-
01054071;Kolkerheide;27;3;6;15;-;-;-;-;-;3;-
01054072;Kotzenbüll;86;31;6;28;6;3;9;0;3;-;-
01054073;Ladelund;510;41;45;160;56;21;45;98;19;22;3
01054074;Langeneß;82;-;12;55;3;9;-;-;3;-;-
