GENESIS-Tabelle: 31111-03-02-5-B
Baugenehmigungen: Wohnungen in Wohn- und Nichtwohngebäuden;;;;;;
(einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01054157;Wisch;0;0;0;0;0
01054158;Witsum;0;0;0;0;0
01054159;Wittbek;3;0;0;0;3
01054160;Wittdün auf Amrum;33;18;8;2;5
01054161;Witzwort;4;0;1;0;3
01054162;Wobbenbüll;1;0;-1;0;2
01054163;Wrixum;2;1;0;0;1
01054164;Wyk auf Föhr;51;5;3;16;27
01054165;Galmsbüll;1;0;0;0;1
01054166;Emmelsbüll-Horsbüll;3;0;0;0;3
01054167;Enge-Sande;4;0;0;-1;5
01054168;Sylt;176;57;68;44;7
01055001;Ahrensbök;18;0;3;4;11
01055002;Altenkrempe;2;1;-8;4;5
01055004;Bad Schwartau;27;5;10;1;11
01055006;Beschendorf;2;2;0;0;0
01055007;Bosau;9;2;1;1;5
01055010;Dahme;8;1;7;0;0
01055011;Damlos;0;0;0;0;0
01055012;Eutin;42;2;11;8;21
01055014;Göhl;0;0;-1;0;1
01055015;Gremersdorf;10;1;3;0;6
01055016;Grömitz;72;41;22;0;9
01055017;Großenbrode;47;6;37;0;4
01055018;Grube;0;0;0;0;0
01055020;Harmsdorf;2;1;0;0;1
01055021;Heiligenhafen;168;31;77;35;25
01055022;Heringsdorf (Holstein);13;1;4;4;4
01055023;Kabelhorst;2;1;0;0;1
01055024;Kasseedorf;0;0;0;0;0
01055025;Kellenhusen (Ostsee);3;0;0;0;3
01055027;Lensahn;23;3;6;0;14
01055028;Malente;17;0;3;-2;16
01055029;Manhagen;5;1;4;-1;1
01055031;Neukirchen;1;-1;0;1;1
01055032;Neustadt in Holstein;191;53;53;25;60
01055033;Oldenburg in Holstein;21;1;5;2;13
01055035;Ratekau;29;0;6;6;17
01055036;Riepsdorf;1;0;0;0;1
01055037;Schashagen;3;-1;0;1;3
01055038;Schönwalde am Bungsberg;0;0;0;0;0
01055039;Sierksdorf;-2;-3;0;-1;2
01055040;Stockelsdorf;60;0;10;8;42
01055041;Süsel;5;0;2;1;2
01055042;Timmendorfer Strand;90;30;35;15;10
01055043;Wangels;5;0;1;1;3
01055044;Scharbeutz;145;22;34;29;60
01055046;Fehmarn;189;39;60;45;45
01056001;Appen;2;0;0;0;2
01056002;Barmstedt;83;11;31;15;26
01056003;Bevern;0;0;0;-1;1
01056004;Bilsen;14;0;0;4;10
01056005;Bönningstedt;11;0;-1;1;11
01056006;Bokel;4;0;1;1;2
01056008;Bokholt-Hanredder;3;1;0;0;2
01056009;Borstel-Hohenraden;26;0;1;3;22
01056010;Brande-Hörnerkirchen;9;0;4;2;3
01056011;Bullenkuhlen;0;0;0;-1;1
01056013;Ellerbek;23;1;0;4;18
01056014;Ellerhoop;6;0;1;0;5
01056015;Elmshorn;344;85;164;30;65
01056016;Groß Nordende;0;0;0;0;0
01056017;Groß Offenseth-Aspern;0;0;0;0;0
01056018;Halstenbek;58;1;5;2;50
01056019;Haselau;2;0;0;0;2
01056020;Haseldorf;16;0;2;1;13
01056021;Hasloh;11;2;0;6;3
01056022;Heede;3;0;0;0;3
01056023;Heidgraben;13;-1;-1;4;11
01056024;Heist;6;0;0;-2;8
01056025;Helgoland;7;0;7;1;-1
01056026;Hemdingen;9;0;1;0;8
01056027;Hetlingen;6;0;1;0;5
01056028;Holm;28;0;8;5;15
01056029;Klein Nordende;26;1;6;10;9
01056030;Klein Offenseth-Sparrieshoop;7;0;0;3;4
01056031;Kölln-Reisiek;2;0;1;-1;2
01056032;Kummerfeld;46;0;0;7;39
01056033;Seester;6;0;0;3;3
01056034;Langeln;12;0;0;3;9
01056035;Lutzhorn;5;0;1;2;2
01056036;Moorrege;61;9;19;3;30
01056037;Neuendeich;1;0;0;1;0
01056038;Osterhorn;4;1;1;1;1
01056039;Pinneberg;146;14;18;22;92
01056040;Prisdorf;12;4;3;2;3
01056041;Quickborn;143;16;24;33;70
01056042;Raa-Besenbek;3;0;0;2;1
01056043;Rellingen;125;35;30;29;31
01056044;Schenefeld, Stadt;53;13;4;6;30
01056045;Seestermühe;1;0;0;1;0
01056046;Seeth-Ekholt;2;0;0;0;2
01056047;Tangstedt;9;1;0;0;8
01056048;Tornesch;84;0;5;7;72
01056049;Uetersen;66;6;19;27;14
01056050;Wedel;144;25;37;31;51
01056051;Westerhorn;1;0;0;-1;2
01057001;Ascheberg (Holstein);3;0;0;-1;4
01057002;Barmissen;0;0;0;0;0
01057003;Barsbek;3;1;0;1;1
01057004;Behrensdorf (Ostsee);3;-1;2;1;1
01057005;Belau;0;0;0;0;0
01057006;Bendfeld;0;0;0;0;0
01057007;Blekendorf;18;1;3;3;11
01057008;Bönebüttel;4;0;0;0;4
01057009;Bösdorf;1;0;-1;1;1
01057010;Boksee;0;0;0;0;0
01057011;Bothkamp;3;1;0;1;1
01057012;Brodersdorf;0;0;0;0;0
01057013;Dannau;1;0;1;0;0
01057015;Dersau;29;0;17;10;2
01057016;Dobersdorf;1;0;0;0;1
01057017;Dörnick;0;0;0;0;0
01057018;Fahren;0;0;0;0;0
01057020;Fiefbergen;1;0;1;0;0
01057021;Giekau;1;0;1;-1;1
01057022;Grebin;2;0;1;0;1
01057023;Großbarkau;1;0;0;0;1
01057024;Großharrie;1;0;0;0;1
01057025;Heikendorf;23;1;8;3;11
01057026;Helmstorf;0;0;0;0;0
01057027;Högsdorf;1;0;0;0;1
01057028;Höhndorf;4;0;0;0;4
01057029;Hohenfelde;2;0;1;0;1
01057030;Hohwacht (Ostsee);33;2;26;3;2
01057031;Honigsee;2;0;0;1;1
01057032;Kalübbe;2;0;0;0;2
01057033;Kirchbarkau;1;0;0;0;1
01057034;Kirchnüchel;0;0;0;0;0
01057035;Klamp;0;0;0;0;0
01057037;Klein Barkau;0;0;0;0;0
01057038;Kletkamp;0;0;0;0;0
01057039;Köhn;0;0;0;0;0
