GENESIS-Tabelle: 71517-02-03-5-B
Bruttoausgaben der Gemeinden - Jahressumme -;;;;;;;;;
regionale Ebenen;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;
2014;;;;;;;;;
;;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Nettoausgaben der Gemeinden
;;;Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);
;;;Ausgaben des Verwaltungshaushalts, insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben des Vermögenshaushalts, insgesamt;Tilgung v.Krediten,Rückzahlungen v.inneren Darleh.;Ausgaben für Sachinvestitionen;
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
01053088;Mechow;120670;118057;2468;9690;2613;0;2484;71398
01053089;Möhnsen;1057372;706820;51350;141935;350552;10351;174215;592196
01053090;Mölln;31375661;26320773;10514786;6108975;5054888;1649228;3036234;19986948
01053091;Mühlenrade;330081;260081;7646;111458;70000;6650;2354;268053
01053092;Müssen;1277822;1068362;59084;123404;209460;50269;21900;1067174
01053093;Mustin;1132263;766768;21143;119521;365495;10000;45791;888389
01053094;Niendorf bei Berkenthin;445098;224371;10522;49425;220727;8231;88892;371529
01053095;Niendorf/Stecknitz;544019;544019;17956;51696;0;0;0;335847
01053096;Nusse;1171089;1054878;64356;128498;116211;12636;92656;878796
01053097;Panten;810513;553376;12698;92152;257137;38806;41165;575268
01053098;Pogeez;711463;384910;11337;45982;326553;10719;306901;668419
01053099;Poggensee;426502;324945;5578;67717;101557;17000;8431;291793
01053100;Ratzeburg;24801788;20585765;4329087;6314606;4216023;935336;3268785;15842006
01053101;Ritzerau;421256;242305;7296;30321;178951;0;17154;299938
01053102;Römnitz;96259;56025;2904;15516;40234;0;14078;76843
01053103;Rondeshagen;894771;770977;27849;71607;123794;0;28205;582583
01053104;Roseburg;761954;588307;10217;97482;173647;0;25183;630890
01053105;Sachsenwald;0;0;0;0;0;0;0;0
01053106;Sahms;553473;464156;14240;130911;89317;0;4062;456357
01053107;Salem;979641;647341;49487;161213;332300;40806;267481;734201
01053108;Sandesneben;2691348;1711159;20853;240176;980189;30728;680341;1847768
01053109;Schiphorst;1226778;630768;10684;110590;596010;0;529080;711249
01053110;Schmilau;978867;627407;49884;99549;351460;0;190337;836526
01053111;Schnakenbek;1047255;888322;28281;189253;158933;7041;151892;725942
01053112;Schönberg;2233635;1328331;18568;160769;905304;0;762065;1291729
01053113;Schretstaken;541214;479988;26104;96702;61226;12496;48730;419258
01053114;Schürensöhlen;543240;154936;5631;18763;388304;0;277454;506899
01053115;Schulendorf;570811;456328;8784;54171;114483;0;28683;383353
01053116;Schwarzenbek;22804983;20525349;5391255;5177033;2279634;858985;1415649;17355232
01053117;Seedorf;917895;556664;70975;102624;361231;18550;235817;727098
01053118;Siebenbäumen;784493;627759;10100;52941;156734;60701;52654;504312
01053119;Siebeneichen;333164;254966;6293;23794;78198;10132;21335;231452
01053120;Sierksrade;562876;428165;41676;79272;134711;0;59904;423405
01053121;Sirksfelde;385598;290681;7221;20859;94917;0;56660;270994
01053122;Steinhorst;1303314;590469;15176;88594;712845;32718;616281;1030092
01053123;Sterley;1179218;911425;81626;111858;267793;47232;85847;829187
01053124;Stubben;508485;394121;8308;47810;114364;49302;45897;419397
01053125;Talkau;558079;549904;28905;143689;8175;4550;3625;439820
01053126;Tramm;406864;377041;15521;54154;29823;0;5323;332086
01053127;Walksfelde;219086;185331;5331;35080;33755;0;13161;169864
01053128;Wangelau;248168;214036;9760;60376;34132;0;34132;192374
01053129;Wentorf bei Hamburg;22747232;17885755;4385378;4660690;4861477;1048349;3784436;18277645
01053130;Wentorf (Amt Sandesneben);1536279;731983;57521;94524;804296;13900;567133;1028312
01053131;Wiershop;484462;368880;8296;140259;115582;29348;20569;474822
01053132;Witzeeze;989732;887649;32261;80721;102083;0;26483;616048
01053133;Wohltorf;4005159;2935803;171448;849352;1069356;0;332874;3477264
01053134;Woltersdorf;403496;301474;16620;66335;102022;24676;77346;293925
01053135;Worth;316252;174598;8177;24343;141654;3133;11225;281136
01053136;Ziethen;1564057;1402012;368747;275731;162045;18900;102213;1001875
01054001;Achtrup;1988358;1729535;177183;413219;258823;215423;42400;1333799
