GENESIS-Tabelle: 13111-08-02-5-B
Sozialversicherungspflichtig Beschäftigte am Arbeits- und;;;;;;
Wohnort sowie Ein- und Auspendler über Gemeindegrenzen;;;;;;
- Stichtag 30.06. - regionale Ebenen;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;
30.06.2015;;;;;;
;;Sozialversicherungspfl. Beschäftigte (Arbeitsort);Einpendler(innen) über Gemeindegrenze (Arbeitsort);Sozialversicherungspfl. Beschäftigte (Wohnort);Auspendler(innen) über Gemeindegrenzen (Wohnort);Pendlersaldo (über Gemeindegrenze)
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01054086;Neukirchen;172;113;452;393;-280
01054087;Nieblum;164;121;175;132;-11
01054088;Niebüll;4232;3029;3830;2628;401
01054089;Norddorf auf Amrum;400;191;284;75;116
01054090;Norderfriedrichskoog;91;85;11;5;80
01054091;Nordstrand;298;119;612;433;-314
01054092;Norstedt;.;.;149;.;.
01054093;Ockholm;65;44;93;72;-28
01054094;Oevenum;183;151;177;145;6
01054095;Oldenswort;162;103;451;392;-289
01054096;Oldersbek;62;47;256;241;-194
01054097;Olderup;51;40;147;136;-96
01054098;Oldsum;77;44;167;134;-90
01054099;Ostenfeld (Husum);459;402;487;430;-28
01054100;Osterhever;48;34;68;54;-20
01054101;Oster-Ohrstedt;122;104;199;181;-77
01054103;Pellworm;273;55;318;100;-45
01054104;Poppenbüll;17;17;49;49;-32
01054105;Ramstedt;14;11;137;134;-123
01054106;Rantrum;194;142;679;627;-485
01054107;Rantum (Sylt);-;-;-;-;-
01054108;Reußenköge;263;234;91;62;172
01054109;Risum-Lindholm;514;337;1465;1289;-952
01054110;Rodenäs;71;58;180;167;-109
01054113;Sankt Peter-Ording;2482;1614;1254;387;1227
01054116;Schwabstedt;110;69;396;355;-286
01054118;Schwesing;62;44;330;312;-268
01054119;Seeth;57;47;163;153;-106
01054120;Simonsberg;50;34;264;248;-214
01054121;Sönnebüll;.;.;104;98;.
01054123;Sollwitt;48;41;91;84;-43
01054124;Sprakebüll;35;30;92;87;-57
01054125;Stadum;210;175;333;298;-123
01054126;Stedesand;73;58;320;305;-247
01054128;Struckum;236;210;335;309;-99
01054129;Süderende;18;13;70;65;-52
01054130;Süderhöft;-;-;7;7;-7
01054131;Süderlügum;661;484;720;543;-59
01054132;Südermarsch;19;17;50;.;-31
01054133;Sylt-Ost;-;-;-;-;-
01054134;Tating;66;45;322;301;-256
01054135;Tetenbüll;137;106;171;140;-34
01054136;Tinningstedt;10;10;85;85;-75
01054138;Tönning;1102;602;1587;1088;-486
01054140;Tümlauer Koog;.;.;33;30;.
01054141;Uelvesbüll;8;4;90;85;-81
01054142;Uphusum;38;30;139;131;-101
01054143;Utersum;198;123;157;82;41
01054144;Viöl;536;377;792;633;-256
01054145;Vollerwiek;16;10;55;49;-39
01054146;Vollstedt;6;.;64;.;.
01054148;Welt;13;8;74;69;-61
01054149;Wenningstedt-Braderup (Sylt);791;617;552;378;239
01054150;Westerhever;21;16;26;21;-5
01054151;Westerland;-;-;-;-;-
01054152;Wester-Ohrstedt;314;270;382;338;-68
01054154;Westre;35;19;139;123;-104
01054156;Winnert;109;83;234;208;-125
01054157;Wisch;.;.;39;.;.
01054158;Witsum;.;.;7;.;.
01054159;Wittbek;.;.;235;225;.
01054160;Wittdün auf Amrum;306;123;401;219;-96
01054161;Witzwort;184;149;311;277;-128
01054162;Wobbenbüll;.;.;129;129;.
01054163;Wrixum;98;77;253;232;-155
01054164;Wyk auf Föhr;2067;934;1650;517;417
01054165;Galmsbüll;56;45;211;200;-155
01054166;Emmelsbüll-Horsbüll;108;70;303;265;-195
01054167;Enge-Sande;200;162;405;367;-205
01054168;Sylt;9029;4233;6340;1552;2681
01055001;Ahrensbök;1295;759;3178;2643;-1884
01055002;Altenkrempe;96;70;432;406;-336
01055004;Bad Schwartau;4955;3844;6688;5577;-1733
01055006;Beschendorf;23;19;200;196;-177
01055007;Bosau;299;178;1161;1040;-862
01055010;Dahme;360;235;346;221;14
01055011;Damlos;.;.;247;243;.
01055012;Eutin;7484;5187;5287;2992;2195
01055014;Göhl;113;85;441;413;-328
01055015;Gremersdorf;198;145;584;531;-386
01055016;Grömitz;2355;1215;2194;1055;160
01055017;Großenbrode;643;416;662;435;-19
01055018;Grube;377;310;367;301;9
01055020;Harmsdorf;91;72;242;223;-151
01055021;Heiligenhafen;2093;1120;2833;1860;-740
01055022;Heringsdorf (Holstein);72;53;348;329;-276
01055023;Kabelhorst;.;.;166;160;.
01055024;Kasseedorf;126;103;526;503;-400
01055025;Kellenhusen (Ostsee);327;209;264;146;63
01055027;Lensahn;1599;1165;1825;1392;-227
01055028;Malente;2706;1535;3311;2140;-605
01055029;Manhagen;14;11;139;136;-125
01055031;Neukirchen;100;51;411;362;-311
01055032;Neustadt in Holstein;8157;5413;5220;2480;2933
01055033;Oldenburg in Holstein;3499;2273;3350;2124;149
01055035;Ratekau;2652;1871;5644;4864;-2993
01055036;Riepsdorf;62;35;328;301;-266
01055037;Schashagen;487;420;785;718;-298
01055038;Schönwalde am Bungsberg;490;375;878;763;-388
01055039;Sierksdorf;906;801;473;369;432
01055040;Stockelsdorf;3296;2596;6365;5665;-3069
01055041;Süsel;595;429;1843;1677;-1248
01055042;Timmendorfer Strand;4190;3045;2812;1671;1374
01055043;Wangels;698;547;782;632;-85
01055044;Scharbeutz;2512;1795;3595;2878;-1083
01055046;Fehmarn;4189;948;4509;1271;-323
01056001;Appen;814;683;1866;1735;-1052
01056002;Barmstedt;2152;1364;3769;2981;-1617
01056003;Bevern;55;35;268;248;-213
