GENESIS-Tabelle: 33111-01-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
01053029;Fitzen;911;69;32;20;2;0;6;6;-;31;31;591;1;-;189;31;14;18;18
01053030;Fredeburg;1009;39;6;2;-;0;0;0;-;32;24;196;-;-;770;3;0;0;0
01053031;Fuhlenhagen;574;55;22;12;0;3;1;0;0;29;29;463;-;-;52;3;0;1;1
01053032;Geesthacht;3319;1273;818;478;204;96;80;57;23;256;235;1072;-;69;703;254;3;14;14
01053033;Giesensdorf;273;17;8;5;-;0;-;-;-;9;9;243;-;-;10;3;0;-;-
01053034;Göldenitz;515;30;14;10;-;0;1;1;-;15;15;450;-;-;28;7;0;1;1
01053035;Göttin;521;40;9;5;0;-;0;0;-;31;31;327;-;10;147;6;-;-;-
01053036;Grabau;410;43;20;11;0;0;1;0;-;21;20;330;-;-;28;3;6;1;1
01053037;Grambek;1266;180;30;23;1;17;58;2;1;75;61;242;17;9;783;54;7;-;-
01053038;Grinau;274;25;14;9;0;3;0;0;-;8;8;228;-;-;19;1;-;1;1
01053039;Groß Boden;270;25;13;9;0;-;0;0;-;12;12;239;-;-;2;4;0;0;0
01053040;Groß Disnack;599;36;7;2;0;1;-;-;-;28;28;225;-;-;329;7;-;2;2
01053041;Groß Grönau;490;162;117;99;0;0;9;5;0;35;33;255;-;-;58;9;2;3;3
01053042;Groß Pampau;432;25;12;5;-;0;1;0;-;12;12;340;0;-;34;4;28;1;1
01053043;Groß Sarau;1708;200;63;44;1;0;12;7;-;125;96;1273;1;7;191;43;1;0;0
01053044;Groß Schenkenberg;652;56;31;18;0;1;4;0;-;20;19;548;-;-;39;8;-;1;1
01053045;Grove;528;39;15;11;-;3;0;0;-;20;17;443;-;-;43;2;0;2;2
01053046;Gudow;4226;281;112;64;2;3;15;12;1;151;148;2015;72;23;1719;142;65;4;3
01053047;Gülzow;1707;119;53;42;-;1;18;14;1;46;46;1020;-;-;558;8;1;2;2
01053048;Güster;778;166;82;70;6;3;34;32;1;46;36;331;-;0;124;148;3;7;7
01053049;Hamfelde;347;42;24;23;-;3;0;0;-;16;16;250;3;0;42;10;0;2;2
01053050;Hamwarde;668;68;39;37;-;0;3;0;1;26;26;492;-;3;101;2;6;0;0
01053051;Harmsdorf;357;34;15;11;1;0;0;0;-;18;17;273;-;1;47;3;-;0;0
01053052;Havekost;591;40;10;4;-;2;0;0;-;28;22;497;2;1;51;2;1;-;-
01053053;Hohenhorn;693;65;31;21;0;0;11;0;0;22;22;589;-;-;31;2;-;6;6
01053054;Hollenbek;721;54;28;19;2;0;0;0;-;25;23;624;-;-;37;4;-;3;3
01053056;Hornbek;589;65;20;10;4;0;1;0;-;44;41;345;7;7;159;19;0;2;2
01053057;Horst;1193;62;25;20;-;0;4;3;-;32;25;811;7;-;291;22;1;7;7
01053058;Juliusburg;604;33;11;6;1;-;0;0;-;21;21;472;-;-;92;6;1;0;-
01053059;Kankelau;421;34;14;10;2;1;0;0;-;19;19;365;1;-;18;3;-;2;2
01053060;Kasseburg;789;84;29;20;1;0;0;0;-;55;55;570;-;-;129;4;3;0;-
01053061;Kastorf;690;89;63;40;8;2;3;3;-;21;21;570;-;-;28;3;-;0;0
01053062;Kittlitz;1773;69;35;16;-;0;2;2;-;32;32;1110;3;-;395;195;3;1;1
01053064;Klein Pampau;417;52;33;25;2;1;3;3;-;15;15;303;-;-;58;4;-;0;0
01053066;Klein Zecher;911;46;24;13;0;3;0;0;-;19;19;775;-;-;79;6;-;5;5
01053067;Klempau;1007;87;44;24;-;3;3;1;-;36;36;789;-;-;100;26;4;1;1
01053068;Klinkrade;740;54;28;18;-;-;2;1;-;24;24;669;1;-;11;6;-;0;-
01053069;Koberg;1198;69;37;26;2;-;2;2;-;30;30;713;25;-;404;11;-;1;1
01053070;Köthel;152;22;14;12;-;-;1;-;1;6;6;113;-;0;10;7;0;0;0
01053071;Kollow;821;60;35;33;0;-;3;1;-;22;22;629;-;-;127;6;0;-;-
01053072;Kröppelshagen-Fahrendorf;837;99;54;47;1;0;3;0;-;40;40;499;-;-;234;5;-;1;1
01053073;Krüzen;825;63;23;12;0;1;3;3;-;37;37;682;-;-;67;6;3;3;3
01053074;Krukow;794;43;16;8;-;-;-;-;-;27;27;575;-;-;167;4;5;0;0
01053075;Krummesse;335;85;57;48;1;3;6;2;1;18;18;221;-;-;19;5;-;5;5
01053076;Kuddewörde;734;104;61;53;1;0;2;1;1;39;39;565;0;-;54;5;5;1;1
01053077;Kühsen;728;50;21;14;1;1;0;0;-;28;28;573;-;-;86;15;1;2;2
01053078;Kulpin;607;30;15;12;-;-;1;1;-;13;13;533;-;-;37;6;0;1;1
01053079;Labenz;575;66;43;27;0;1;2;2;-;20;19;499;-;-;4;6;-;0;0
01053080;Langenlehsten;2337;93;19;8;0;2;1;-;-;72;72;714;11;34;1524;6;1;-;-
01053081;Lankau;1912;108;35;21;1;1;8;7;-;64;61;1087;-;1;629;87;1;0;0
01053082;Lanze;905;59;17;7;1;0;7;1;-;35;22;753;-;-;20;46;24;4;4
01053083;Lauenburg/Elbe;954;447;311;208;64;6;30;25;6;95;81;344;-;0;35;115;11;2;2
01053084;Lehmrade;1140;91;25;22;0;1;12;11;-;52;52;502;1;5;441;103;-;3;3
01053085;Linau;966;99;58;40;2;2;7;2;-;33;32;795;0;-;45;22;2;2;1
01053086;Lüchow;462;26;13;8;-;1;0;0;-;11;11;427;-;-;6;4;-;0;0
01053087;Lütau;1124;83;39;21;2;2;1;0;1;41;41;895;-;-;138;7;-;1;1
