GENESIS-Tabelle: 42111-01-04-5-B
Verarbeitendes Gewerbe, Bergbau und Gewinnung von Steinen;;;;;
und Erden: Betriebe, Beschäftigte - Stichtag: 30.09. -;;;;;
regionale Ebenen;;;;;
Verarbeitendes Gewerbe - Jahre ab 2009 mit WZ2008;;;;;
;;;Betriebe;Beschäftigte;Bruttoentgelte
;;;Anzahl;Anzahl;Tsd. EUR
30.09.2015;01057032;Kalübbe;1;.;.
30.09.2015;01057033;Kirchbarkau;0;0;0
30.09.2015;01057034;Kirchnüchel;0;0;0
30.09.2015;01057035;Klamp;0;0;0
30.09.2015;01057037;Klein Barkau;0;0;0
30.09.2015;01057038;Kletkamp;0;0;0
30.09.2015;01057039;Köhn;0;0;0
30.09.2015;01057040;Krokau;0;0;0
30.09.2015;01057041;Krummbek;0;0;0
30.09.2015;01057042;Kühren;0;0;0
30.09.2015;01057043;Laboe;1;.;.
30.09.2015;01057044;Lammershagen;0;0;0
30.09.2015;01057045;Lebrade;0;0;0
30.09.2015;01057046;Lehmkuhlen;0;0;0
30.09.2015;01057047;Löptin;0;0;0
30.09.2015;01057048;Lütjenburg;1;.;.
30.09.2015;01057049;Lutterbek;0;0;0
30.09.2015;01057050;Martensrade;0;0;0
30.09.2015;01057051;Mönkeberg;1;.;.
30.09.2015;01057052;Mucheln;0;0;0
30.09.2015;01057053;Nehmten;0;0;0
30.09.2015;01057054;Nettelsee;0;0;0
30.09.2015;01057055;Panker;0;0;0
30.09.2015;01057056;Passade;1;.;.
30.09.2015;01057057;Plön;1;.;.
30.09.2015;01057058;Pohnsdorf;1;.;.
