GENESIS-Tabelle: 14339-01-02-5
Landtagswahlen: Bayern - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Bayern;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15.09.2013;09181126;Hurlach;1219;64,1;770;506;83;38;6;5;133
15.09.2013;09181127;Igling;1859;65,7;1201;692;173;134;23;21;159
15.09.2013;09181128;Kaufering, M;7792;66,9;5130;2564;998;549;122;103;794
15.09.2013;09181129;Kinsau;790;65,7;513;277;85;40;11;11;90
15.09.2013;09181130;Landsberg am Lech, GKSt;20529;64,0;12926;6222;2491;1914;358;306;1636
15.09.2013;09181131;Obermeitingen;1154;64,1;730;423;128;26;21;12;123
15.09.2013;09181132;Penzing;2832;69,2;1931;1083;265;199;41;23;321
15.09.2013;09181133;Vilgertshofen;1921;67,3;1279;714;185;116;33;19;213
15.09.2013;09181134;Prittriching;1881;71,7;1335;803;186;74;22;23;227
15.09.2013;09181135;Reichling;1272;71,1;890;513;109;75;20;15;159
15.09.2013;09181137;Rott;1167;66,2;758;357;104;74;21;13;190
15.09.2013;09181138;Scheuring;1427;66,1;934;553;128;55;20;9;170
15.09.2013;09181139;Schondorf am Ammersee;2766;75,6;2070;995;413;337;124;35;167
15.09.2013;09181140;Schwifting;718;68,8;480;255;75;63;4;10;74
15.09.2013;09181141;Pürgen;2612;69,3;1767;980;286;185;38;24;255
15.09.2013;09181142;Thaining;744;63,7;470;253;63;39;12;4;100
15.09.2013;09181143;Unterdießen;1042;70,4;721;415;97;62;14;16;117
15.09.2013;09181144;Utting am Ammersee;3320;76,2;2485;1124;475;545;87;29;226
15.09.2013;09181145;Weil;2804;70,1;1949;1127;283;134;34;27;345
15.09.2013;09181146;Windach;2746;73,3;1993;964;367;294;68;34;266
15.09.2013;09181444;Gem.fr. Geb. Landsberg am Lech;0;0,0;0;0;0;0;0;0;0
15.09.2013;09182111;Bad Wiessee;3503;67,5;2311;1454;319;122;117;31;269
15.09.2013;09182112;Bayrischzell;1178;64,5;745;477;82;63;20;6;99
15.09.2013;09182114;Fischbachau;4478;66,6;2926;1722;350;228;83;24;520
