GENESIS-Tabelle: 31211-06-01-5-B
Wohngebäude nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01053091;Mühlenrade;63;15;-;15;9;-;6;9;6;3;-
01053092;Müssen;359;48;53;123;42;-;16;35;7;20;15
01053093;Mustin;260;42;33;81;29;6;15;27;13;4;10
01053094;Niendorf bei Berkenthin;60;3;3;14;10;3;4;23;-;-;-
01053095;Niendorf/Stecknitz;213;25;23;79;19;7;19;22;9;10;-
01053096;Nusse;334;51;29;111;48;6;37;27;9;9;7
01053097;Panten;272;42;16;140;35;3;9;18;9;-;-
01053098;Pogeez;146;16;19;68;9;3;10;15;3;-;3
01053099;Poggensee;109;13;11;34;25;3;3;10;3;3;4
01053100;Ratzeburg;3599;291;271;1680;289;79;216;311;281;136;45
01053101;Ritzerau;87;33;13;26;-;3;0;9;3;-;-
01053102;Römnitz;19;6;7;6;-;-;-;-;-;-;-
01053103;Rondeshagen;252;44;19;102;18;9;8;23;15;7;7
01053104;Roseburg;196;35;19;55;32;4;13;4;28;6;-
01053105;Sachsenwald;-;-;-;-;-;-;-;-;-;-;-
01053106;Sahms;120;15;0;49;13;-;-;15;24;-;4
01053107;Salem;283;47;22;110;28;10;12;15;28;7;4
01053108;Sandesneben;529;76;9;120;82;6;11;121;59;35;10
01053109;Schiphorst;182;29;28;22;13;6;3;24;29;19;9
01053110;Schmilau;211;32;31;92;9;3;9;21;-;14;-
01053111;Schnakenbek;311;13;14;155;45;25;23;9;3;21;3
01053112;Schönberg;410;79;30;125;21;7;42;41;27;22;16
01053113;Schretstaken;160;25;0;69;16;10;6;4;23;7;-
01053114;Schürensöhlen;58;0;4;26;6;4;12;6;-;-;-
01053115;Schulendorf;149;25;9;39;12;3;10;17;19;15;-
01053116;Schwarzenbek;3492;134;133;1403;312;69;300;626;284;123;108
01053117;Seedorf;257;36;10;129;31;3;15;7;8;15;3
01053118;Siebenbäumen;187;43;16;62;7;3;19;13;9;12;3
01053119;Siebeneichen;88;28;3;26;12;3;4;6;6;-;-
01053120;Sierksrade;107;33;17;26;9;3;-;-;-;9;10
01053121;Sirksfelde;122;23;10;36;6;9;13;13;3;6;3
01053122;Steinhorst;199;32;14;59;17;7;29;16;-;25;-
01053123;Sterley;334;56;32;138;15;10;3;59;9;6;6
01053124;Stubben;121;35;9;34;3;3;12;12;9;4;-
01053125;Talkau;184;14;6;72;20;6;25;13;16;12;-
01053126;Tramm;115;28;17;24;10;13;7;3;7;6;-
01053127;Walksfelde;61;15;6;15;9;3;9;4;-;-;-
01053128;Wangelau;63;10;-;37;13;-;3;-;-;-;-
01053129;Wentorf bei Hamburg;2618;152;171;1056;255;125;90;452;224;67;26
01053130;Wentorf (Amt Sandesneben);232;33;33;48;10;17;22;27;22;17;3
01053131;Wiershop;58;6;3;34;6;-;3;3;-;3;-
01053132;Witzeeze;276;32;19;125;32;9;25;12;16;6;-
01053133;Wohltorf;793;58;53;427;92;21;15;29;37;58;3
01053134;Woltersdorf;113;7;19;46;7;9;3;10;3;6;3
01053135;Worth;56;13;9;9;13;3;6;-;3;-;-
01053136;Ziethen;315;45;10;114;26;29;37;18;22;14;-
01054001;Achtrup;545;77;54;159;64;12;30;79;48;15;7
01054002;Ahrenshöft;209;43;23;70;6;6;29;22;3;7;-
01054003;Ahrenviöl;168;45;9;59;13;-;22;11;3;3;3
01054004;Ahrenviölfeld;93;17;19;27;6;3;9;3;6;3;-
01054005;Alkersum;162;43;6;57;16;3;12;12;-;10;3
01054006;Almdorf;212;50;11;51;25;8;3;37;21;6;-
01054007;Arlewatt;121;15;9;48;13;-;17;16;-;3;-
01054009;Aventoft;196;44;37;51;23;3;9;16;6;3;4
01054010;Bargum;221;67;12;59;30;6;10;24;13;-;-
01054011;Behrendorf;209;35;18;57;20;3;21;30;13;3;9
01054012;Bohmstedt;284;61;22;91;28;10;20;27;6;19;-
01054013;Bondelum;60;13;6;25;-;-;3;6;3;4;-
01054014;Bordelum;805;139;98;255;82;19;35;110;36;19;12
01054015;Borgsum;135;27;7;21;29;6;10;23;3;6;3
01054016;Bosbüll;81;20;6;39;-;-;3;6;7;-;-
01054017;Braderup;271;41;30;95;50;3;15;21;16;-;-
01054018;Bramstedtlund;76;4;9;45;6;3;3;6;-;-;-
01054019;Bredstedt;1852;233;178;756;212;65;94;155;62;66;31
01054020;Breklum;859;77;37;309;106;38;94;134;25;23;16
01054022;Dagebüll;408;110;42;145;28;9;13;25;26;6;4
