GENESIS-Tabelle: 13111-02-02-5-B
Sozialversicherungspflichtig Beschäftigte am Wohnort;;;;;;;
nach Geschlecht und Nationalität - Stichtag 30.06. -;;;;;;;
regionale Ebenen;;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;;
Sozialversicherungspfl. Beschäftigte (Wohnort) (Anzahl);;;;;;;
30.06.2015;;;;;;;
;;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität
;;Insgesamt;Insgesamt;Insgesamt;Ausländer(innen);Ausländer(innen);Ausländer(innen)
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
01057059;Postfeld;148;81;67;.;-;.
01057060;Prasdorf;164;90;74;-;-;-
01057062;Preetz;5350;2740;2610;141;77;64
01057063;Probsteierhagen;750;386;364;26;14;12
01057065;Rantzau;140;79;61;.;.;.
01057066;Rastorf;289;143;146;5;.;.
01057067;Rathjensdorf;139;72;67;3;-;3
01057068;Rendswühren;301;172;129;.;.;.
01057069;Ruhwinkel;370;201;169;3;3;-
01057070;Schellhorn;498;250;248;5;.;.
01057071;Schillsdorf;330;170;160;.;.;.
01057072;Schlesen;216;110;106;3;.;.
01057073;Schönberg (Holstein);1986;1013;973;51;29;22
01057074;Schönkirchen;2507;1238;1269;60;31;29
01057076;Schwartbuck;308;155;153;3;.;.
01057077;Selent;477;251;226;6;3;3
01057078;Stakendorf;180;98;82;7;.;.
01057079;Stein;265;129;136;.;.;.
01057080;Stolpe;493;252;241;5;.;.
01057081;Stoltenberg;96;46;50;3;.;.
01057082;Tröndel;124;74;50;.;.;.
01057083;Tasdorf;98;48;50;4;.;.
01057084;Wahlstorf;170;91;79;.;.;.
01057085;Wankendorf;1120;602;518;20;13;7
01057086;Warnau;130;62;68;.;.;.
01057087;Wendtorf;290;158;132;4;.;.
01057088;Wisch;229;125;104;.;.;.
01057089;Wittmoldt;48;25;23;.;.;.
01057090;Fargau-Pratjau;262;140;122;.;-;.
01057091;Schwentinental;4731;2381;2350;110;53;57
01058001;Achterwehr;285;133;152;4;.;.
01058003;Alt Duvenstedt;709;371;338;8;.;.
01058004;Altenhof;104;53;51;4;.;.
01058005;Altenholz;3070;1556;1514;72;37;35
01058007;Arpsdorf;100;52;48;-;-;-
01058008;Ascheffel;347;170;177;6;.;.
01058009;Aukrug;1420;757;663;30;18;12
01058010;Bargstall;57;30;27;.;-;.
01058011;Bargstedt;297;162;135;.;.;.
01058012;Barkelsby;523;276;247;4;.;.
01058013;Beldorf;100;56;44;.;.;.
01058014;Bendorf;144;83;61;3;.;.
01058015;Beringstedt;276;166;110;9;.;.
01058016;Bissee;50;26;24;.;.;.
01058018;Blumenthal;245;121;124;3;-;3
01058019;Böhnhusen;97;49;48;.;.;.
01058021;Bokel;246;131;115;5;5;-
01058022;Bordesholm;2170;1117;1053;32;20;12
01058023;Borgdorf-Seedorf;144;69;75;3;3;-
01058024;Borgstedt;528;270;258;9;.;.
01058025;Bornholt;44;26;18;-;-;-
01058026;Bovenau;411;208;203;13;8;5
01058027;Brammer;134;80;54;4;4;-
01058028;Bredenbek;564;291;273;9;4;5
01058029;Breiholz;526;286;240;6;.;.
01058030;Brekendorf;370;211;159;.;.;.
01058031;Brinjahe;41;23;18;-;-;-
01058032;Brodersby;212;111;101;.;.;.
01058033;Brügge;321;176;145;3;.;.
01058034;Büdelsdorf;3576;1854;1722;83;55;28
01058035;Bünsdorf;212;107;105;6;3;3
01058036;Christiansholm;82;43;39;-;-;-
01058037;Dänischenhagen;1247;652;595;13;9;4
01058038;Dätgen;245;122;123;3;.;.
01058039;Damendorf;167;86;81;.;-;.
01058040;Damp;505;259;246;42;25;17
01058042;Dörphof;265;133;132;5;.;.
01058043;Eckernförde;6981;3421;3560;187;100;87
01058044;Ehndorf;242;135;107;.;-;.
01058045;Eisendorf;121;59;62;.;-;.
01058046;Ellerdorf;200;102;98;.;.;.
01058047;Elsdorf-Westermühlen;623;357;266;9;5;4
01058048;Embühren;82;41;41;4;.;.
01058049;Emkendorf;527;277;250;13;9;4
01058050;Felde;740;375;365;11;3;8
01058051;Felm;424;206;218;5;.;.
01058052;Fleckeby;690;337;353;6;.;.
01058053;Flintbek;2557;1280;1277;34;17;17
01058054;Fockbek;2181;1122;1059;21;11;10
01058055;Friedrichsgraben;15;11;4;-;-;-
01058056;Friedrichsholm;149;86;63;.;.;.
01058057;Gammelby;159;79;80;.;.;.
01058058;Gettorf;2502;1276;1226;50;31;19
01058059;Gnutz;468;247;221;8;3;5
01058061;Gokels;186;103;83;6;.;.
01058062;Grauel;105;58;47;.;.;.
01058063;Grevenkrug;60;31;29;.;.;.
01058064;Groß Buchwald;107;58;49;.;-;.
01058065;Groß Vollstedt;392;204;188;10;4;6
01058066;Groß Wittensee;399;209;190;.;.;.
01058067;Güby;211;105;106;9;6;3
01058068;Haale;184;107;77;.;.;.
01058069;Haby;219;118;101;3;.;.
01058070;Hamdorf;443;242;201;.;-;.
01058071;Hamweddel;167;98;69;.;-;.
01058072;Hanerau-Hademarschen;932;535;397;15;8;7
01058073;Haßmoor;97;50;47;5;.;.
01058074;Heinkenborstel;61;26;35;-;-;-
01058075;Hörsten;17;8;9;-;-;-
01058076;Hoffeld;45;20;25;.;-;.
01058077;Hohenwestedt;1868;996;872;37;26;11
01058078;Hohn;860;478;382;4;.;.
01058080;Holtsee;435;216;219;13;10;3
01058081;Holzbunge;123;63;60;3;3;-
01058082;Holzdorf;328;182;146;9;5;4
01058083;Hütten;86;40;46;.;.;.
01058084;Hummelfeld;104;48;56;-;-;-
01058085;Jahrsdorf;87;52;35;.;.;.
01058086;Jevenstedt;1170;633;537;16;12;4
01058087;Karby;199;96;103;-;-;-
01058088;Klein Wittensee;55;28;27;-;-;-
01058089;Königshügel;64;33;31;.;.;.
01058090;Kosel;419;211;208;4;.;.
01058091;Krogaspe;173;87;86;.;.;.
01058092;Kronshagen;3718;1818;1900;101;58;43
01058093;Krummwisch;265;148;117;.;.;.
01058094;Langwedel;567;298;269;10;5;5
01058096;Lindau;470;241;229;7;3;4
01058097;Lohe-Föhrden;182;102;80;-;-;-
01058098;Loop;43;23;20;.;.;.
01058099;Loose;325;163;162;.;-;.
01058100;Lütjenwestedt;211;129;82;5;.;.
01058101;Luhnstedt;156;80;76;.;-;.
01058102;Goosefeld;243;122;121;4;.;.
01058103;Meezen;130;61;69;4;-;4
01058104;Melsdorf;615;311;304;17;10;7
01058105;Mielkendorf;535;273;262;12;8;4
01058106;Mörel;88;46;42;3;3;-
01058107;Molfsee;1359;630;729;30;16;14
01058108;Mühbrook;151;71;80;.;.;.
01058109;Negenharrie;126;68;58;7;.;.
01058110;Neudorf-Bornstein;418;216;202;.;.;.
01058111;Neu Duvenstedt;40;19;21;.;.;.
01058112;Neuwittenbek;395;206;189;34;31;3
01058113;Nienborstel;251;144;107;5;.;.
01058115;Nindorf;253;133;120;6;3;3
01058116;Noer;284;140;144;3;-;3
01058117;Nortorf;2405;1254;1151;66;44;22
01058118;Nübbel;554;294;260;4;4;-
01058119;Oldenbüttel;93;52;41;.;.;.
01058120;Oldenhütten;62;36;26;.;.;.
01058121;Osdorf;896;468;428;11;8;3
01058122;Ostenfeld (Rendsburg);256;132;124;5;.;.
01058123;Osterby;325;160;165;6;.;.
01058124;Osterrönfeld;1945;1025;920;38;26;12
01058125;Osterstedt;262;158;104;4;.;.
01058126;Ottendorf;286;140;146;7;3;4
01058127;Owschlag;1225;648;577;13;6;7
01058128;Padenstedt;658;328;330;7;.;.
01058129;Prinzenmoor;72;37;35;.;.;.
01058130;Quarnbek;619;314;305;6;3;3
01058131;Rade b. Hohenwestedt;13;10;3;.;.;.
01058132;Rade b. Rendsburg;64;34;30;.;.;.
01058133;Reesdorf;45;22;23;-;-;-
01058134;Remmels;158;84;74;9;.;.
01058135;Rendsburg;9168;5011;4157;510;360;150
01058136;Rickert;362;188;174;5;.;.
01058137;Rieseby;885;435;450;12;7;5
01058138;Rodenbek;167;74;93;.;-;.
01058139;Rumohr;330;170;160;17;11;6
01058140;Schacht-Audorf;1670;924;746;34;20;14
01058141;Schierensee;113;55;58;3;.;.
01058142;Schinkel;354;173;181;7;4;3
01058143;Schmalstede;104;54;50;.;.;.
01058144;Schönbek;59;34;25;-;-;-
01058145;Schönhorst;110;53;57;5;.;.
01058146;Schülldorf;269;131;138;4;4;-
01058147;Schülp b. Nortorf;331;183;148;17;.;.
01058148;Schülp b. Rendsburg;346;178;168;4;.;.
01058150;Schwedeneck;930;468;462;21;9;12
01058151;Seefeld;134;80;54;3;.;.
01058152;Sehestedt;332;162;170;6;.;.
01058153;Sören;59;28;31;-;-;-
01058154;Sophienhamm;139;73;66;-;-;-
01058155;Stafstedt;129;61;68;4;4;-
01058156;Steenfeld;116;65;51;.;.;.
01058157;Strande;324;142;182;6;.;.
01058158;Tackesdorf;21;12;9;-;-;-
01058159;Tappendorf;119;66;53;.;-;.
01058160;Techelsdorf;58;30;28;3;.;.
01058161;Thaden;87;48;39;.;.;.
01058162;Thumby;175;96;79;4;.;.
01058163;Timmaspe;438;230;208;10;6;4
01058164;Todenbüttel;387;210;177;4;.;.
01058165;Tüttendorf;463;245;218;8;8;-
01058166;Waabs;454;216;238;26;16;10
01058167;Wapelfeld;123;66;57;.;.;.
01058168;Warder;222;124;98;5;-;5
01058169;Wasbek;885;443;442;18;6;12
01058170;Wattenbek;989;518;471;19;9;10
01058171;Westensee;512;254;258;13;9;4
01058172;Westerrönfeld;1719;889;830;35;20;15
01058173;Windeby;367;182;185;14;4;10
01058174;Winnemark;144;67;77;.;-;.
01058175;Ahlefeld-Bistensee;143;71;72;.;.;.
01059001;Alt Bennebek;123;67;56;-;-;-
01059002;Arnis;98;50;48;.;-;.
01059005;Bergenhusen;222;138;84;.;-;.
01059006;Böel;244;133;111;.;.;.
01059008;Böklund;554;299;255;58;35;23
01059009;Börm;255;149;106;10;5;5
01059010;Bollingstedt;562;274;288;8;5;3
01059011;Boren;-;-;-;-;-;-
01059012;Borgwedel;195;98;97;3;3;-
01059014;Brebel;154;82;72;.;-;.
01059016;Brodersby;130;66;64;.;-;.
01059018;Busdorf;710;313;397;7;4;3
01059019;Dannewerk;415;214;201;9;.;.
01059020;Dörpstedt;204;111;93;4;.;.
01059021;Dollrottfeld;99;54;45;.;.;.
01059022;Ekenis;-;-;-;-;-;-
01059023;Ellingstedt;286;168;118;.;-;.
01059024;Erfde;713;393;320;11;.;.
01059026;Fahrdorf;695;333;362;16;9;7
01059032;Geltorf;158;78;80;.;.;.
01059033;Goltoft;69;32;37;.;.;.
01059034;Grödersby;68;27;41;-;-;-
01059035;Groß Rheide;310;165;145;-;-;-
01059037;Havetoft;341;168;173;.;.;.
01059038;Havetoftloit;-;-;-;-;-;-
01059039;Hollingstedt;326;184;142;15;11;4
01059041;Hüsby;308;152;156;6;.;.
01059042;Idstedt;293;153;140;6;.;.
01059043;Jagel;369;178;191;8;.;.
01059044;Jübek;892;474;418;10;3;7
01059045;Kappeln;2677;1321;1356;64;37;27
01059047;Kiesby;-;-;-;-;-;-
01059049;Klappholz;167;90;77;5;.;.
01059050;Klein Bennebek;204;114;90;3;3;-
01059051;Klein Rheide;122;61;61;.;.;.
01059053;Kropp;1988;962;1026;35;21;14
01059055;Loit;87;51;36;.;.;.
01059056;Lottorf;78;35;43;-;-;-
01059057;Lürschau;402;200;202;8;4;4
01059058;Meggerdorf;259;155;104;4;4;-
01059060;Mohrkirch;353;189;164;12;5;7
01059062;Neuberend;344;169;175;.;-;.
01059063;Norderbrarup;232;120;112;4;.;.
01059064;Norderstapel;218;120;98;-;-;-
01059065;Nottfeld;44;24;20;.;-;.
01059067;Oersberg;92;51;41;.;-;.
01059068;Rabenkirchen-Faulück;193;90;103;7;.;.
01059069;Rüde;-;-;-;-;-;-
01059070;Rügge;97;51;46;.;.;.
01059071;Satrup;-;-;-;-;-;-
01059072;Saustrup;69;32;37;-;-;-
01059073;Schaalby;536;281;255;4;.;.
01059074;Scheggerott;147;79;68;.;.;.
01059075;Schleswig;7550;3762;3788;367;216;151
01059076;Schnarup-Thumby;187;102;85;5;.;.
01059077;Schuby;942;458;484;9;.;.
01059078;Selk;276;133;143;3;.;.
01059079;Silberstedt;750;405;345;26;21;5
01059080;Steinfeld;223;123;100;5;.;.
01059081;Stolk;287;147;140;6;3;3
01059082;Struxdorf;245;139;106;.;.;.
01059083;Süderbrarup;1248;631;617;24;13;11
01059084;Süderfahrenstedt;172;80;92;3;-;3
01059085;Süderstapel;266;155;111;4;.;.
01059086;Taarstedt;362;189;173;9;.;.
01059087;Tetenhusen;306;152;154;.;-;.
01059088;Tielen;104;55;49;.;-;.
01059090;Tolk;383;197;186;5;.;.
01059092;Treia;492;261;231;6;.;.
01059093;Ülsby;119;68;51;-;-;-
01059094;Ulsnis;172;84;88;4;.;.
01059095;Wagersrott;72;46;26;7;.;.
01059096;Wohlde;165;100;65;15;8;7
01059097;Twedt;160;78;82;.;.;.
01059098;Nübel;468;246;222;3;.;.
01059101;Tastrup;131;60;71;.;-;.
01059102;Ahneby;73;37;36;.;.;.
01059103;Ausacker;168;80;88;-;-;-
01059105;Böxlund;32;21;11;-;-;-
01059106;Dollerup;352;164;188;4;.;.
01059107;Eggebek;801;433;368;22;17;5
01059109;Esgrus;228;115;113;.;.;.
01059112;Gelting;559;278;281;10;4;6
01059113;Glücksburg (Ostsee);1452;656;796;73;32;41
01059115;Großenwiehe;1065;548;517;9;5;4
01059116;Großsolt;647;328;319;3;.;.
01059118;Grundhof;281;137;144;10;6;4
01059120;Harrislee;3175;1538;1637;176;90;86
01059121;Hasselberg;246;130;116;.;.;.
01059123;Hörup;203;103;100;.;-;.
01059124;Holt;67;37;30;.;.;.
01059126;Hürup;406;198;208;3;.;.
01059127;Husby;806;414;392;30;19;11
01059128;Janneby;143;74;69;6;.;.
01059129;Jardelund;93;52;41;.;.;.
01059131;Jerrishoe;340;170;170;.;-;.
01059132;Jörl;309;173;136;5;.;.
01059136;Kronsgaard;78;35;43;-;-;-
01059137;Langballig;443;224;219;12;5;7
01059138;Langstedt;319;163;156;4;.;.
01059141;Maasbüll;216;96;120;6;.;.
01059142;Maasholm;160;88;72;.;-;.
01059143;Medelby;272;147;125;3;.;.
01059144;Meyn;233;120;113;14;10;4
01059145;Munkbrarup;334;170;164;4;-;4
01059147;Nieby;28;12;16;.;-;.
01059148;Niesgrau;191;90;101;.;-;.
01059149;Nordhackstedt;178;102;76;8;5;3
01059151;Osterby;89;45;44;.;.;.
01059152;Pommerby;38;18;20;-;-;-
01059153;Quern;-;-;-;-;-;-
01059154;Rabel;243;133;110;.;.;.
01059155;Rabenholz;97;47;50;.;-;.
01059157;Ringsberg;218;109;109;4;.;.
01059158;Schafflund;803;403;400;17;7;10
01059159;Sieverstedt;574;314;260;7;.;.
01059161;Sörup;1425;792;633;24;13;11
01059162;Sollerup;164;92;72;-;-;-
01059163;Stangheck;79;36;43;-;-;-
01059164;Steinberg;243;128;115;6;6;-
01059165;Steinbergkirche;-;-;-;-;-;-
01059167;Sterup;465;244;221;4;.;.
01059168;Stoltebüll;212;103;109;.;-;.
01059169;Süderhackstedt;97;61;36;-;-;-
01059171;Tarp;1617;801;816;51;24;27
01059173;Wallsbüll;304;156;148;8;4;4
01059174;Wanderup;887;437;450;12;7;5
01059176;Wees;782;366;416;29;18;11
01059177;Weesby;128;74;54;10;7;3
01059178;Westerholz;215;106;109;4;.;.
01059179;Lindewitt;701;373;328;15;11;4
01059182;Freienwill;522;275;247;8;3;5
01059183;Handewitt;3934;1956;1978;86;47;39
01059184;Oeversee;1218;614;604;20;9;11
01059185;Mittelangeln;1770;919;851;74;40;34
01059186;Steinbergkirche;860;483;377;12;5;7
01059187;Boren;341;181;160;7;4;3
01060002;Alveslohe;1067;581;486;68;46;22
01060003;Armstedt;154;79;75;.;.;.
01060004;Bad Bramstedt;5376;2882;2494;563;387;176
01060005;Bad Segeberg;6411;3181;3230;211;124;87
01060006;Bahrenhof;63;31;32;-;-;-
01060007;Bark;417;227;190;9;5;4
01060008;Bebensee;227;117;110;3;-;3
01060009;Bimöhlen;330;174;156;10;.;.
01060010;Blunk;216;119;97;.;.;.
01060011;Boostedt;1661;828;833;25;14;11
01060012;Bornhöved;1288;693;595;32;18;14
01060013;Borstel;41;17;24;4;.;.
01060014;Buchholz b. Wahlstedt;-;-;-;-;-;-
01060015;Bühnsdorf;120;59;61;.;.;.
01060016;Daldorf;303;161;142;8;.;.
01060017;Damsdorf;103;53;50;.;.;.
01060018;Dreggers;13;6;7;-;-;-
01060019;Ellerau;2271;1173;1098;63;34;29
01060020;Fahrenkrug;571;310;261;7;4;3
01060021;Föhrden-Barl;116;66;50;.;.;.
01060022;Fredesdorf;176;100;76;10;.;.
01060023;Fuhlendorf;185;88;97;29;15;14
01060024;Geschendorf;179;91;88;.;-;.
01060025;Glasau;292;161;131;-;-;-
01060026;Gönnebek;203;105;98;13;.;.
01060027;Großenaspe;1059;575;484;19;.;.
01060028;Groß Kummerfeld;714;371;343;8;.;.
01060029;Groß Niendorf;262;146;116;.;.;.
01060030;Groß Rönnau;167;85;82;5;.;.
01060031;Hagen;174;92;82;.;.;.
01060033;Hardebek;172;92;80;8;4;4
01060034;Hartenholm;651;334;317;8;4;4
01060035;Hasenkrug;142;78;64;5;.;.
01060036;Hasenmoor;299;150;149;19;16;3
01060037;Heidmoor;141;80;61;4;.;.
01060038;Heidmühlen;270;125;145;11;6;5
01060039;Henstedt-Ulzburg;11068;5833;5235;419;236;183
01060040;Hitzhusen;492;262;230;26;18;8
01060041;Högersdorf;165;79;86;3;.;.
01060042;Hüttblek;147;77;70;.;.;.
01060043;Itzstedt;1030;550;480;16;10;6
01060044;Kaltenkirchen;8114;4383;3731;493;304;189
01060045;Kattendorf;323;174;149;3;.;.
01060046;Kayhude;454;247;207;21;12;9
01060047;Kisdorf;1408;726;682;45;29;16
01060048;Klein Gladebrügge;195;102;93;.;.;.
01060049;Klein Rönnau;456;225;231;11;4;7
01060050;Krems II;140;72;68;.;.;.
01060051;Kükels;184;100;84;-;-;-
01060052;Latendorf;205;112;93;.;.;.
01060053;Leezen;721;377;344;17;7;10
01060054;Lentföhrden;1038;584;454;25;15;10
01060056;Mönkloh;86;39;47;-;-;-
01060057;Mözen;187;88;99;3;.;.
01060058;Nahe;890;469;421;17;9;8
01060059;Negernbötel;340;181;159;7;.;.
01060060;Nehms;194;106;88;3;3;-
01060061;Neuengörs;275;141;134;-;-;-
01060062;Neversdorf;292;144;148;4;.;.
01060063;Norderstedt;30665;15864;14801;2120;1215;905
01060064;Nützen;524;283;241;15;12;3
01060065;Oering;529;283;246;6;3;3
01060066;Oersdorf;321;181;140;27;21;6
01060067;Pronstorf;506;250;256;17;10;7
01060068;Rickling;1099;561;538;25;12;13
01060069;Rohlstorf;372;200;172;9;6;3
01060070;Schackendorf;248;127;121;10;7;3
01060071;Schieren;92;46;46;3;.;.
01060072;Schmalensee;165;98;67;4;.;.
01060073;Schmalfeld;751;382;369;17;10;7
01060074;Schwissel;95;51;44;.;-;.
01060075;Seedorf;712;357;355;15;9;6
01060076;Seth;835;450;385;16;12;4
01060077;Sievershütten;465;243;222;7;.;.
01060079;Stipsdorf;54;29;25;.;.;.
01060080;Stocksee;151;83;68;6;.;.
01060081;Strukdorf;101;55;46;3;.;.
01060082;Struvenhütten;391;214;177;5;.;.
01060084;Stuvenborn;347;185;162;11;.;.
01060085;Sülfeld;1240;643;597;31;18;13
01060086;Tarbek;61;31;30;.;-;.
01060087;Tensfeld;286;157;129;4;.;.
01060088;Todesfelde;436;243;193;10;4;6
01060089;Trappenkamp;1792;999;793;80;46;34
01060090;Travenhorst;65;36;29;-;-;-
01060091;Traventhal;172;85;87;4;.;.
01060092;Wahlstedt;3571;1904;1667;130;80;50
01060093;Wakendorf I;145;78;67;3;.;.
01060094;Wakendorf II;561;275;286;8;5;3
01060095;Weddelbrook;401;202;199;.;.;.
01060096;Weede;346;190;156;4;.;.
01060097;Wensin;298;167;131;.;.;.
01060098;Westerrade;153;93;60;-;-;-
01060099;Wiemersdorf;678;363;315;43;33;10
01060100;Winsen;141;70;71;.;-;.
01060101;Wittenborn;366;196;170;4;.;.
01061001;Aasbüttel;41;23;18;.;.;.
01061002;Aebtissinwisch;18;11;7;-;-;-
01061003;Agethorst;69;38;31;.;-;.
01061004;Altenmoor;97;45;52;3;3;-
01061005;Auufer;54;28;26;-;-;-
01061006;Bahrenfleth;212;125;87;.;.;.
01061007;Beidenfleth;326;189;137;3;3;-
01061008;Bekdorf;34;21;13;.;-;.
01061010;Bekmünde;65;37;28;-;-;-
01061011;Besdorf;80;47;33;.;.;.
01061012;Blomesche Wildnis;227;125;102;18;14;4
01061013;Bokelrehm;60;38;22;-;-;-
01061014;Bokhorst;57;37;20;-;-;-
01061015;Borsfleth;278;162;116;11;5;6
01061016;Breitenberg;123;65;58;4;.;.
01061017;Breitenburg;365;206;159;11;5;6
01061018;Brokdorf;384;219;165;.;.;.
01061019;Brokstedt;757;398;359;16;10;6
01061020;Büttel;9;.;.;.;.;.
01061021;Christinenthal;22;10;12;.;.;.
01061022;Dägeling;413;218;195;6;.;.
01061023;Dammfleth;105;60;45;.;.;.
01061024;Drage;71;37;34;-;-;-
01061025;Ecklak;118;58;60;.;.;.
01061026;Elskop;54;28;26;3;.;.
01061027;Engelbrechtsche Wildnis;266;152;114;10;.;.
01061028;Fitzbek;151;81;70;.;.;.
01061029;Glückstadt;4050;2218;1832;329;232;97
01061030;Grevenkop;114;60;54;.;.;.
01061031;Gribbohm;172;100;72;.;.;.
01061033;Hadenfeld;55;26;29;.;-;.
01061034;Heiligenstedten;617;318;299;9;4;5
01061035;Heiligenstedtenerkamp;283;163;120;7;4;3
01061036;Hennstedt;214;126;88;4;.;.
01061037;Herzhorn;404;230;174;12;9;3
01061038;Hingstheide;29;17;12;-;-;-
01061039;Hodorf;92;55;37;4;.;.
01061040;Hohenaspe;758;404;354;22;9;13
01061041;Hohenfelde;386;207;179;7;3;4
01061042;Hohenlockstedt;2045;1126;919;63;42;21
01061043;Holstenniendorf;121;62;59;.;.;.
01061044;Horst (Holstein);2089;1114;975;61;44;17
01061045;Huje;84;46;38;-;-;-
01061046;Itzehoe;10764;5701;5063;408;229;179
01061047;Kaaks;139;71;68;.;.;.
01061048;Kaisborstel;29;15;14;-;-;-
01061049;Kellinghusen;2652;1430;1222;123;95;28
01061050;Kiebitzreihe;780;429;351;14;7;7
01061052;Kleve, b. Itzehoe;240;138;102;6;.;.
01061053;Kollmoor;11;5;6;-;-;-
01061054;Krempdorf;75;40;35;.;-;.
01061055;Krempe;858;476;382;19;11;8
01061056;Kremperheide;919;495;424;5;.;.
01061057;Krempermoor;187;111;76;.;-;.
01061058;Kronsmoor;56;31;25;.;-;.
01061059;Krummendiek;27;16;11;-;-;-
01061060;Kudensee;55;34;21;-;-;-
01061061;Lägerdorf;939;539;400;19;9;10
01061062;Landrecht;43;18;25;-;-;-
01061063;Landscheide;77;38;39;.;-;.
01061064;Lockstedt;57;38;19;-;-;-
01061065;Lohbarbek;278;150;128;6;.;.
01061066;Looft;149;80;69;.;.;.
01061067;Mehlbek;168;98;70;4;.;.
01061068;Moordiek;40;21;19;-;-;-
01061070;Moorhusen;26;14;12;.;-;.
01061071;Mühlenbarbek;114;65;49;.;.;.
01061072;Münsterdorf;652;316;336;6;.;.
01061073;Neuenbrook;282;152;130;7;.;.
01061074;Neuendorf b. Elmshorn;313;173;140;4;.;.
01061076;Nienbüttel;39;20;19;-;-;-
01061077;Nortorf;323;177;146;3;.;.
01061078;Nutteln;100;55;45;-;-;-
01061079;Oelixdorf;499;261;238;11;3;8
01061080;Oeschebüttel;55;31;24;4;.;.
01061081;Oldenborstel;35;18;17;-;-;-
01061082;Oldendorf;392;221;171;8;.;.
01061083;Ottenbüttel;251;122;129;.;-;.
01061084;Peissen;96;58;38;.;.;.
01061085;Pöschendorf;100;59;41;.;.;.
01061086;Poyenberg;144;75;69;.;.;.
01061087;Puls;242;139;103;4;.;.
01061088;Quarnstedt;154;82;72;-;-;-
01061089;Rade;27;20;7;-;-;-
01061091;Reher;295;169;126;12;7;5
01061092;Rethwisch;233;144;89;.;.;.
01061093;Rosdorf;136;65;71;.;.;.
01061095;Sankt Margarethen;322;190;132;4;.;.
01061096;Sarlhusen;203;110;93;12;8;4
01061097;Schenefeld;891;470;421;40;28;12
01061098;Schlotfeld;75;42;33;-;-;-
01061099;Siezbüttel;-;-;-;-;-;-
01061100;Silzen;60;38;22;.;.;.
01061101;Sommerland;285;143;142;8;.;.
01061102;Stördorf;47;29;18;-;-;-
01061103;Störkathen;31;13;18;-;-;-
01061104;Süderau;281;151;130;3;.;.
01061105;Vaale;453;261;192;10;7;3
01061106;Vaalermoor;62;32;30;.;-;.
01061107;Wacken;709;393;316;10;4;6
01061108;Warringholz;129;76;53;-;-;-
01061109;Westermoor;167;94;73;.;-;.
01061110;Wewelsfleth;540;315;225;13;9;4
01061111;Wiedenborstel;4;.;.;-;-;-
01061112;Willenscharen;60;31;29;-;-;-
01061113;Wilster;1462;809;653;30;18;12
01061114;Winseldorf;117;60;57;.;-;.
01061115;Wittenbergen;60;35;25;.;.;.
01061116;Wrist;870;472;398;36;19;17
01061117;Wulfsmoor;140;71;69;.;.;.
01061118;Kollmar;604;336;268;26;.;.
01061119;Neuendorf-Sachsenbande;168;99;69;.;.;.
01062001;Ahrensburg;11449;5907;5542;664;368;296
01062003;Badendorf;348;173;175;.;.;.
01062004;Bad Oldesloe;9227;4946;4281;594;382;212
01062005;Bargfeld-Stegen;1086;555;531;24;17;7
01062006;Bargteheide;6158;3177;2981;226;135;91
01062008;Barnitz;347;188;159;10;3;7
01062009;Barsbüttel;4809;2475;2334;247;133;114
01062011;Braak;359;186;173;22;12;10
01062014;Delingsdorf;942;506;436;54;35;19
01062016;Elmenhorst;976;503;473;23;13;10
01062018;Glinde;7031;3713;3318;541;330;211
01062019;Grabau;307;143;164;6;.;.
01062020;Grande;241;130;111;9;6;3
01062021;Grönwohld;509;282;227;28;21;7
01062022;Großensee;665;338;327;18;11;7
01062023;Großhansdorf;3054;1538;1516;124;68;56
01062025;Hamberge;632;332;300;17;13;4
01062026;Hamfelde;183;96;87;7;.;.
01062027;Hammoor;503;259;244;11;.;.
01062031;Heidekamp;160;76;84;4;.;.
01062032;Heilshoop;209;107;102;.;.;.
01062033;Hohenfelde;18;11;7;.;.;.
01062035;Hoisdorf;1226;633;593;40;19;21
01062036;Jersbek;586;284;302;9;5;4
01062039;Klein Wesenberg;296;152;144;13;9;4
01062040;Köthel;129;63;66;-;-;-
01062045;Lütjensee;1207;602;605;33;15;18
01062046;Meddewade;355;189;166;9;5;4
01062048;Mönkhagen;299;164;135;31;28;3
01062050;Neritz;133;66;67;5;5;-
01062051;Nienwohld;197;105;92;17;14;3
01062053;Oststeinbek;3138;1618;1520;201;123;78
01062056;Pölitz;447;234;213;7;4;3
01062058;Rausdorf;85;45;40;4;.;.
01062059;Rehhorst;313;167;146;.;-;.
01062060;Reinbek;9600;5025;4575;520;287;233
01062061;Reinfeld (Holstein);3294;1707;1587;73;44;29
01062062;Rethwisch;462;239;223;4;.;.
01062065;Rümpel;510;275;235;12;4;8
01062069;Siek;952;498;454;108;58;50
01062071;Stapelfeld;657;324;333;30;24;6
01062076;Tangstedt;2352;1203;1149;69;37;32
01062078;Todendorf;546;284;262;7;.;.
01062081;Tremsbüttel;745;383;362;22;13;9
01062082;Trittau;3394;1749;1645;106;66;40
01062083;Westerau;324;182;142;16;11;5
01062086;Witzhave;593;311;282;22;13;9
