GENESIS-Tabelle: 14335-01-02-5
Landtagswahlen: Nordrhein-Westfalen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Nordrhein-Westfalen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.05.2012;05374028;Morsbach;8241;53,6;4352;1492;1522;395;342;88;513
13.05.2012;05374032;Nümbrecht;13156;57,0;7374;2244;2560;844;702;150;874
13.05.2012;05374036;Radevormwald;16899;59,1;9850;2960;3363;830;1038;183;1476
13.05.2012;05374040;Reichshof;14832;54,3;7956;2509;2687;795;734;141;1090
13.05.2012;05374044;Waldbröl;14235;48,7;6810;2345;2237;619;524;161;924
13.05.2012;05374048;Wiehl;20266;59,2;11801;3482;4370;1143;1171;271;1364
13.05.2012;05374052;Wipperfürth;16774;63,2;10452;3971;3014;1044;1033;173;1217
13.05.2012;05378004;Bergisch Gladbach;83329;63,7;52581;13121;17970;7644;7301;1101;5444
13.05.2012;05378008;Burscheid, Rheinl;13686;59,6;8050;1945;2978;952;946;193;1036
13.05.2012;05378012;Kürten;15454;62,9;9621;3062;3060;1090;1121;161;1127
13.05.2012;05378016;Leichlingen (Rhld.);21851;67,0;14435;3721;5177;1685;1944;249;1659
13.05.2012;05378020;Odenthal;12087;69,0;8248;2632;2443;998;1304;111;760
13.05.2012;05378024;Overath;20447;63,4;12782;3749;4160;1598;1687;183;1405
13.05.2012;05378028;Rösrath;21137;62,7;13136;2980;4439;2130;1897;324;1366
13.05.2012;05378032;Wermelskirchen;27544;60,6;16392;4339;5203;1657;2822;337;2034
13.05.2012;05382004;Alfter;17389;64,7;11099;3161;3223;1717;1436;187;1375
13.05.2012;05382008;Bad Honnef;18847;65,3;12122;3381;3591;1730;1903;195;1322
13.05.2012;05382012;Bornheim, Rheinl;36132;60,6;21597;6427;6678;2960;2632;407;2493
13.05.2012;05382016;Eitorf;14012;54,4;7468;1988;2499;863;950;146;1022
13.05.2012;05382020;Hennef (Sieg);34912;60,3;20760;5863;6629;2805;2322;393;2748
13.05.2012;05382024;Königswinter;30473;65,9;19838;5932;5995;2797;2774;286;2054
13.05.2012;05382028;Lohmar;23412;65,0;15023;4009;4724;2640;1755;215;1680
13.05.2012;05382032;Meckenheim, Rheinl;18263;66,0;11858;3661;3576;1219;1924;208;1270
13.05.2012;05382036;Much;11417;60,2;6752;2093;1971;922;661;153;952
13.05.2012;05382040;Neunkirchen-Seelscheid;15689;64,1;9912;2748;3050;1424;1318;186;1186
13.05.2012;05382044;Niederkassel;27267;62,7;16838;4791;6181;1641;1900;260;2065
13.05.2012;05382048;Rheinbach;20556;64,9;13132;4289;3860;1434;1744;198;1607
13.05.2012;05382052;Ruppichteroth;7847;59,1;4537;1340;1451;588;437;98;623
13.05.2012;05382056;Sankt Augustin;42022;61,1;25331;7227;8493;3110;3081;533;2887
13.05.2012;05382060;Siegburg;29745;57,8;17002;4660;5455;2386;1956;424;2121
13.05.2012;05382064;Swisttal;14012;65,7;9040;3077;2705;909;1164;123;1062
13.05.2012;05382068;Troisdorf;53377;56,9;29886;7842;11199;3436;2751;739;3919
13.05.2012;05382072;Wachtberg;15200;68,3;10223;3331;2727;1176;1697;128;1164
13.05.2012;05382076;Windeck;15449;55,6;8454;2006;3559;956;624;214;1095
13.05.2012;05512000;Bottrop, krsfr. Stadt;90226;60,3;53624;10922;26861;4225;2842;1441;7333
13.05.2012;05513000;Gelsenkirchen, krsfr. Stadt;183455;52,4;94624;16840;48016;7654;4177;2992;14945
13.05.2012;05515000;Münster, krsfr. Stadt;225977;68,1;152586;39965;50861;29638;14888;3655;13579
13.05.2012;05554004;Ahaus;28440;61,4;17280;7165;5460;1478;1411;227;1539
13.05.2012;05554008;Bocholt;55341;60,6;33123;12468;12288;2736;2281;459;2891
13.05.2012;05554012;Borken;31819;61,7;19420;8232;5815;1838;1620;225;1690
